,Rteam_TOP,Bteam_TOP,Rteam_MIDDLE,Bteam_MIDDLE,Rteam_BOTTOM,Bteam_BOTTOM,Rteam_SUPPORT,Bteam_SUPPORT,Rteam_JUNGLE,Bteam_JUNGLE
3,Fiora,Camille,Renekton,Mordekaiser,Xayah,Veigar,Galio,Rakan,Elise,XinZhao
8,Lucian,Jax,Talon,Akali,Kaisa,Ashe,Blitzcrank,Thresh,Karthus,Khazix
18,Camille,Mordekaiser,Irelia,Zilean,Lucian,Ashe,Nautilus,Pyke,Ekko,Nidalee
21,Jayce,Quinn,Neeko,Akali,Xayah,Lucian,Nautilus,Shaco,Karthus,Khazix
22,Gangplank,Garen,Orianna,Veigar,Caitlyn,Kaisa,Nautilus,Leona,Karthus,Gragas
23,Renekton,MasterYi,TwistedFate,Leblanc,Lucian,Caitlyn,Bard,Yuumi,Shaco,XinZhao
24,Garen,Kayle,TwistedFate,Zed,Lucian,Kaisa,Yuumi,Pyke,Taliyah,Karthus
25,Olaf,Ryze,TwistedFate,Akali,Caitlyn,MissFortune,Ornn,Rakan,Nidalee,Taliyah
26,Olaf,Fiora,Cassiopeia,Ryze,Lucian,Ezreal,Pyke,Thresh,Nidalee,Taliyah
31,Camille,Mordekaiser,Akali,Katarina,Lucian,Xayah,Leona,Rakan,Nidalee,RekSai
32,Camille,Kayle,TwistedFate,Zilean,Caitlyn,Kaisa,Pyke,Nautilus,Olaf,Kindred
33,Ryze,Ekko,Renekton,Qiyana,Xayah,Caitlyn,Lulu,Blitzcrank,LeeSin,Elise
34,Fiora,Akali,Talon,Katarina,Xayah,Lucian,Rakan,Thresh,Gragas,RekSai
36,Olaf,Jayce,Akali,Vladimir,Ezreal,Caitlyn,Xerath,Thresh,Nocturne,LeeSin
41,Aatrox,Pantheon,Irelia,Syndra,Ezreal,Kaisa,Gragas,Lulu,Volibear,Elise
43,Fiora,Kayle,Yasuo,MasterYi,Xayah,Leblanc,Lulu,Syndra,Qiyana,LeeSin
44,Quinn,Fiora,Tristana,Tristana,Kaisa,Jayce,Volibear,Nami,LeeSin,Taliyah
52,Rumble,Malphite,Lissandra,Yasuo,Taliyah,Kaisa,Pantheon,Alistar,Elise,Gragas
56,Sion,Garen,Yasuo,Darius,Veigar,Kaisa,Anivia,Lux,Rammus,Amumu
60,Irelia,Ryze,Galio,Taliyah,Xayah,Kaisa,Blitzcrank,Pyke,Nidalee,LeeSin
65,Fiora,Hecarim,Akali,Kennen,Ashe,Tristana,Volibear,Nautilus,Elise,Ekko
72,Aatrox,Ryze,Kennen,Anivia,Kaisa,Ezreal,Pyke,Nautilus,Elise,Trundle
80,Jayce,Renekton,Katarina,Vladimir,Ashe,Kaisa,Blitzcrank,Leona,Shyvana,LeeSin
87,Malzahar,Darius,Lissandra,Qiyana,Ashe,Xayah,Karma,Janna,Khazix,Karthus
89,Garen,Kayle,Leblanc,Zoe,Tristana,Ezreal,Leona,Pyke,Gragas,Vi
91,Rengar,Jax,Fizz,Talon,Lucian,Ashe,Braum,Nautilus,Olaf,Ekko
98,Kennen,Viktor,Katarina,Jax,Xayah,Jinx,Zyra,Karma,Khazix,JarvanIV
99,Kayle,Gangplank,Irelia,Galio,Lucian,MissFortune,Rakan,Nautilus,Nidalee,LeeSin
104,Renekton,Jayce,Fizz,Kassadin,Sivir,Xayah,Fiddlesticks,Morgana,Qiyana,Ekko
111,Yasuo,Fiora,Neeko,Garen,Ezreal,Ezreal,Pyke,Yuumi,LeeSin,Shyvana
112,Fiora,Kennen,Sylas,Pantheon,Ezreal,Jhin,Yuumi,Leona,Taliyah,Karthus
115,Illaoi,Kennen,Veigar,Lulu,Ashe,MissFortune,Fiddlesticks,Pyke,Karthus,Rengar
116,Volibear,Ornn,Morgana,Lulu,Jinx,Xayah,Pyke,Fiddlesticks,Ekko,Shaco
117,Garen,Malphite,Yasuo,Azir,Kaisa,Jinx,Fiddlesticks,Thresh,Gragas,Shaco
119,Shen,Kennen,Fizz,Kassadin,Lucian,Kaisa,Thresh,Fiddlesticks,Olaf,Rengar
121,Renekton,Kled,AurelionSol,Mordekaiser,Ezreal,Caitlyn,Yuumi,Lux,Kayn,JarvanIV
122,Vladimir,Riven,Azir,TwistedFate,Kaisa,Lucian,Thresh,Fiddlesticks,RekSai,Elise
129,JarvanIV,Camille,Cassiopeia,Irelia,Xayah,Kaisa,Fiddlesticks,Karma,RekSai,Graves
133,Aatrox,Vladimir,Katarina,Zoe,Jinx,Kaisa,Galio,Fiddlesticks,LeeSin,Olaf
134,Jax,Aatrox,Leblanc,Akali,Ezreal,Ashe,Zyra,Yuumi,LeeSin,Evelynn
135,Vladimir,Renekton,Gangplank,Maokai,Ezreal,Jinx,Yuumi,Fiddlesticks,Olaf,RekSai
139,Jayce,Camille,Ryze,Karthus,Ezreal,Kaisa,Yuumi,Fiddlesticks,DrMundo,Ekko
143,Ryze,Kennen,Qiyana,Akali,Ashe,Kaisa,Pyke,Fiddlesticks,Ekko,Kindred
145,Malphite,Jayce,Anivia,Talon,Lucian,Xayah,Brand,Fiddlesticks,LeeSin,Nidalee
146,Camille,Fiora,Ekko,Leblanc,Ezreal,Yasuo,Yuumi,Shen,Gragas,LeeSin
